Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(EUR),Min(pips),Min(EUR),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(EUR)
,1011345505,17/07/2025 11:59,17/07/2025 19:37,GBPUSD,Buy,0.010,1.34136,0.00000,1.34108,1.34136,0.0000,0.0000,2.8,0.24,0.02,"DoIt GBP Master GID=597[sl 1.34136]",11111,00:07:37:52,27.6,2h 6m,26.1,2.75,9.5,0.855,-26.1,-2.349,26.7,81.2,-6.70,-0.60
,1011345499,17/07/2025 11:59,17/07/2025 19:37,GBPUSD,Buy,0.010,1.34136,0.00000,1.34103,1.34136,0.0000,0.0000,3.3,0.28,0.02,"DoIt GBP Master GID=597[sl 1.34136]",11111,00:07:37:53,30.4,2h 19m,25.6,2.56,10.0,0.8,-25.6,-2.048,28.1,81.2,-6.70,-0.54
,1011345490,17/07/2025 11:59,17/07/2025 19:37,GBPUSD,Buy,0.010,1.34136,0.00000,1.34101,1.34136,0.0000,0.0000,3.5,0.30,0.02,"DoIt GBP Master GID=597[sl 1.34136]",11111,00:07:37:53,31.1,2h 22m,25.4,2.49,10.2,0.9179999999999999,-25.4,-2.2859999999999996,28.7,81.2,-6.70,-0.60
,1011345468,17/07/2025 11:59,17/07/2025 19:37,GBPUSD,Buy,0.010,1.34136,0.00000,1.34108,1.34136,0.0000,0.0000,2.8,0.24,0.02,"DoIt GBP Master GID=597[sl 1.34136]",11111,00:07:37:53,27.6,2h 6m,26.1,2.75,9.5,0.855,-26.1,-2.349,26.7,81.2,-6.70,-0.60
,1011345450,17/07/2025 11:59,17/07/2025 19:37,GBPUSD,Buy,0.020,1.34136,0.00000,1.34105,1.34136,0.0000,0.0000,3.1,0.53,0.03,"DoIt GBP Master GID=597[sl 1.34136]",11111,00:07:37:53,29.3,2h 14m,25.8,2.63,9.8,1.6660000000000001,-25.8,-4.386,27.5,81.2,-6.70,-1.14
,1011345438,17/07/2025 11:59,17/07/2025 19:37,GBPUSD,Buy,0.020,1.34136,0.00000,1.34104,1.34136,0.0000,0.0000,3.2,0.55,0.04,"DoIt GBP Master GID=597[sl 1.34136]",11111,00:07:37:54,30.0,2h 17m,25.7,2.60,9.9,1.6830000000000003,-25.7,-4.369,27.8,81.2,-6.70,-1.14
,1009359958,16/07/2025 16:21,16/07/2025 16:53,GBPUSD,Sell,0.020,0.00000,0.00000,1.33820,1.33704,0.0000,0.0000,11.6,2.01,0.13,"DoIt GBP Master GID=905",11111,00:00:31:20,16.7,5m,45.1,3.89,11.6,1.972,-45.1,-7.667000000000001,20.5,100.0,0.00,0.00
,1009359930,16/07/2025 16:21,16/07/2025 16:53,GBPUSD,Sell,0.020,0.00000,0.00000,1.33820,1.33705,0.0000,0.0000,11.5,1.99,0.13,"DoIt GBP Master GID=905",11111,00:00:31:20,16.7,5m,45.1,3.92,11.5,1.955,-45.1,-7.667000000000001,20.3,100.0,0.00,0.00
,1009360156,16/07/2025 16:21,16/07/2025 16:53,GBPUSD,Sell,0.010,0.00000,0.00000,1.33819,1.33705,0.0000,0.0000,11.4,0.99,0.06,"DoIt GBP Master GID=905",11111,00:00:31:18,16.7,5m,45.2,3.97,11.4,1.026,-45.2,-4.0680000000000005,20.1,100.0,0.00,0.00
,1009360140,16/07/2025 16:21,16/07/2025 16:53,GBPUSD,Sell,0.010,0.00000,0.00000,1.33820,1.33705,0.0000,0.0000,11.5,0.99,0.06,"DoIt GBP Master GID=905",11111,00:00:31:18,16.7,5m,45.1,3.92,11.5,1.035,-45.1,-4.059,20.3,100.0,0.00,0.00
